system_left,system_right,metric,paired_prompts,mean_difference_left_minus_right,ci_low,ci_high
local_rule_rag,qwen-max,lexical_support,252,0.030995730297031454,0.005920165320519101,0.05459326784209719
local_rule_rag,qwen-max,embedding_support,252,0.08145072093944147,0.06449465334770373,0.09705737570416095
local_rule_rag,qwen-max,nli_support,252,0.1289154032167044,0.09326315637811125,0.16205922200177864
local_rule_rag,qwen-max,pi_sret_constraint_score,252,-0.05555555555555555,-0.11200082987551867,0.0
local_rule_rag,deepseek-r1,lexical_support,252,-0.17698960642221012,-0.22350166085719606,-0.1330585879110891
local_rule_rag,deepseek-r1,embedding_support,252,-0.0886100633686055,-0.13315285637447494,-0.04804939372211931
local_rule_rag,deepseek-r1,nli_support,252,-0.1510993135993136,-0.20345110216421713,-0.10002838349713354
local_rule_rag,deepseek-r1,pi_sret_constraint_score,252,0.007936507936507936,-0.04000401606425703,0.056230567431014296
qwen-max,deepseek-r1,lexical_support,252,-0.2079853367192416,-0.2477795872441918,-0.1725438705604714
qwen-max,deepseek-r1,embedding_support,252,-0.17006078430804697,-0.20397409447727086,-0.1390097383425279
qwen-max,deepseek-r1,nli_support,252,-0.280014716816018,-0.3225699299029489,-0.24005973593727742
qwen-max,deepseek-r1,pi_sret_constraint_score,252,0.06349206349206349,0.01593625498007968,0.11250851167315162
