system,n_responses,n_prompt_contexts,n_base_tasks,mean_lexical_support,lexical_support_ci_low,lexical_support_ci_high,mean_embedding_support,embedding_support_ci_low,embedding_support_ci_high,mean_nli_support,nli_support_ci_low,nli_support_ci_high,mean_pi_sret_constraint_score,pi_sret_constraint_score_ci_low,pi_sret_constraint_score_ci_high,mean_pi_sret_violation,pi_sret_violation_ci_low,pi_sret_violation_ci_high
local_rule_rag,252,252,168,0.5122655122655123,0.4821535438062635,0.5395784482315079,0.24425643478638467,0.2289801368733044,0.2579927775551557,0.584920634920635,0.5491399349139937,0.6179615705931495,0.3333333333333333,0.2679245283018868,0.40585774058577406,0.6666666666666666,0.5941422594142259,0.7320754716981132
qwen-max,252,252,168,0.4812697819684808,0.44897306223299444,0.5149782589486978,0.1628057138469432,0.15512742945132862,0.17110289664176492,0.45600523170393054,0.42377402584196705,0.48957302430136135,0.3888888888888889,0.31800766283524906,0.4628099173553719,0.6111111111111112,0.5371900826446281,0.6819923371647509
deepseek-r1,252,252,168,0.6892551186877225,0.6581156163760519,0.7218421986552085,0.33286649815499014,0.3018279594134864,0.36692253842434824,0.7360199485199485,0.7035831420984632,0.7694518780591616,0.3253968253968254,0.2600674915635546,0.39669421487603307,0.6746031746031746,0.6033057851239669,0.7399325084364454
