tau_f,tau_g,n,high_support_cases,low_constraint_cases,divergence_cases,divergence_rate_all,divergence_rate_all_ci_low,divergence_rate_all_ci_high,risk_rate_among_high_support,risk_rate_among_high_support_ci_low,risk_rate_among_high_support_ci_high
0.5,0.5,372,272,164,72,0.1935483870967742,0.14284976387249115,0.25739866421004143,0.2647058823529412,0.18956043956043955,0.3623205025927403
0.5,0.75,372,272,164,72,0.1935483870967742,0.14284976387249115,0.25739866421004143,0.2647058823529412,0.18956043956043955,0.3623205025927403
0.5,1.0,372,272,164,72,0.1935483870967742,0.14284976387249115,0.25739866421004143,0.2647058823529412,0.18956043956043955,0.3623205025927403
0.6,0.5,372,239,164,55,0.1478494623655914,0.1053862855882631,0.19939577039274925,0.2301255230125523,0.16140323117921385,0.3214330581478822
0.6,0.75,372,239,164,55,0.1478494623655914,0.1053862855882631,0.19939577039274925,0.2301255230125523,0.16140323117921385,0.3214330581478822
0.6,1.0,372,239,164,55,0.1478494623655914,0.1053862855882631,0.19939577039274925,0.2301255230125523,0.16140323117921385,0.3214330581478822
0.7,0.5,372,225,164,54,0.14516129032258066,0.10317371343156095,0.1964834448705416,0.24,0.17266004455318995,0.323080808080808
0.7,0.75,372,225,164,54,0.14516129032258066,0.10317371343156095,0.1964834448705416,0.24,0.17266004455318995,0.323080808080808
0.7,1.0,372,225,164,54,0.14516129032258066,0.10317371343156095,0.1964834448705416,0.24,0.17266004455318995,0.323080808080808
0.8,0.5,372,222,164,54,0.14516129032258066,0.10317371343156095,0.1964834448705416,0.24324324324324326,0.17338709677419356,0.32736484803188826
0.8,0.75,372,222,164,54,0.14516129032258066,0.10317371343156095,0.1964834448705416,0.24324324324324326,0.17338709677419356,0.32736484803188826
0.8,1.0,372,222,164,54,0.14516129032258066,0.10317371343156095,0.1964834448705416,0.24324324324324326,0.17338709677419356,0.32736484803188826
0.9,0.5,372,221,164,54,0.14516129032258066,0.10317371343156095,0.1964834448705416,0.24434389140271492,0.17372881355932204,0.33177623928679095
0.9,0.75,372,221,164,54,0.14516129032258066,0.10317371343156095,0.1964834448705416,0.24434389140271492,0.17372881355932204,0.33177623928679095
0.9,1.0,372,221,164,54,0.14516129032258066,0.10317371343156095,0.1964834448705416,0.24434389140271492,0.17372881355932204,0.33177623928679095
0.95,0.5,372,221,164,54,0.14516129032258066,0.10317371343156095,0.1964834448705416,0.24434389140271492,0.17372881355932204,0.33177623928679095
0.95,0.75,372,221,164,54,0.14516129032258066,0.10317371343156095,0.1964834448705416,0.24434389140271492,0.17372881355932204,0.33177623928679095
0.95,1.0,372,221,164,54,0.14516129032258066,0.10317371343156095,0.1964834448705416,0.24434389140271492,0.17372881355932204,0.33177623928679095
