variant,band_gap_upper_ev,formation_energy_lower_ev_atom,formation_energy_upper_ev_atom,conductivity_gap_ev,elemental_reference_tolerance_ev_atom,ragas_violation_rate,ragas_divergence_cases,judge_agreement,judge_kappa
default,15.0,-4.0,1.0,0.1,0.05,0.44086021505376344,54,0.8860502838605029,0.7727156139157428
band_gap_upper_10,10.0,-4.0,1.0,0.1,0.05,0.44086021505376344,54,0.8860502838605029,0.7727156139157428
band_gap_upper_20,20.0,-4.0,1.0,0.1,0.05,0.3951612903225806,39,0.8365774533657745,0.6749215433439905
formation_range_narrow,15.0,-3.0,0.5,0.1,0.05,0.4435483870967742,55,0.8860502838605029,0.7726649095214568
formation_range_wide,15.0,-5.0,1.5,0.1,0.05,0.43548387096774194,52,0.8832116788321168,0.7670900887487613
conductivity_gap_0_05,15.0,-4.0,1.0,0.05,0.05,0.44086021505376344,54,0.8852392538523925,0.7711081417750814
conductivity_gap_0_20,15.0,-4.0,1.0,0.2,0.05,0.44086021505376344,54,0.8860502838605029,0.7727156139157428
element_reference_0_00,15.0,-4.0,1.0,0.1,0.0,0.4596774193548387,61,0.8990267639902676,0.7984186920526866
element_reference_0_10,15.0,-4.0,1.0,0.1,0.1,0.4327956989247312,51,0.8811841038118411,0.7630729316616945
