method,n,mean_score,score_ci_low,score_ci_high,pearson_with_constraint,spearman_with_constraint,fixed_threshold,fixed_high_support_cases,fixed_high_support_low_constraint_cases,fixed_high_support_low_constraint_rate,ragas_rate_calibrated_threshold,calibrated_high_support_cases,calibrated_high_support_low_constraint_cases,calibrated_high_support_low_constraint_rate
ragas_faithfulness,372,0.6721774193548388,0.6148914066702528,0.7248781632886753,0.5905262152834531,0.5597314652463428,0.8,222,54,0.24324324324324326,0.7997311827956988,222,54,0.24324324324324326
lexical_overlap,372,0.7279008763198069,0.6812349806135646,0.7644975250816847,0.33109012991222647,0.40413028525674777,0.8,136,10,0.07352941176470588,0.6666666666666666,264,103,0.39015151515151514
embedding_similarity_hashing,372,0.3816712505314552,0.34092927475010154,0.41902116866188727,0.17137619113308183,0.21536512433397786,0.8,8,4,0.5,0.33706122221924645,222,90,0.40540540540540543
nli_heuristic,372,0.7801456189773253,0.729994870107105,0.8183720831092776,0.25276328055033565,0.40130942846605905,0.8,136,10,0.07352941176470588,0.75,309,138,0.44660194174757284
