constraint_family,n,mean_ragas_faithfulness,mean_answer_relevancy,mean_pi_sret_constraint_score,pi_sret_violation_rate,divergence_cases,divergence_rate
formation_energy,74,0.8513513513513513,0.8464525039603638,0.5540540540540541,0.44594594594594594,22,0.2972972972972973
band_gap,74,0.677927927927928,0.8774975640121296,0.2702702702702703,0.7297297297297297,21,0.28378378378378377
superconductivity,22,0.8446969696969696,0.39835343182447713,0.8181818181818182,0.18181818181818182,4,0.18181818181818182
chemical_formula,28,0.6666666666666666,0.5793880008180782,0.75,0.25,2,0.07142857142857142
stability,72,0.1527777777777778,0.6164139112554469,0.125,0.875,2,0.027777777777777776
temperature,53,0.8987421383647799,0.6357960345977035,0.9622641509433962,0.03773584905660377,2,0.03773584905660377
pressure,25,0.7,0.7194916823630021,0.96,0.04,1,0.04
natural_claim,24,0.9791666666666666,0.3534542810401777,1.0,0.0,0,0.0
